em,one_five,two,three,four
1093.09309309,0.8749421480234009,0.47719061200798246,0.07690090945785234,0.023924347563675785
1099.0990991,0.8763982974227672,0.47966051394063336,0.07754608861378127,0.02409269056144165
1105.10510511,0.8778434245669576,0.48213139710298675,0.07819536647243333,0.024262024444031045
1111.11111111,0.8792775475774548,0.4846031696107857,0.07884875623494644,0.02443235354850764
1117.11711712,0.8807006854361629,0.4870757394802913,0.07950627102398027,0.02460368221989909
1123.12312312,0.8821128579762535,0.4895490146385517,0.08016792388244402,0.02477601481112904
1129.12912913,0.8835140858729268,0.4920229029336877,0.08083372777222261,0.024949355682948433
1135.13513514,0.8849043906340907,0.494497312145193,0.08150369557290117,0.025123709203866154
1141.14114114,0.886283794590962,0.4969721499942473,0.08217784008048805,0.025299079750078994
1147.14714715,0.8876523208885908,0.4994473241540406,0.08285617400613639,0.02547547170540093
1153.15315315,0.8890099934763118,0.5019227422601057,0.08353870997486447,0.02565288946119173
1159.15915916,0.890356837098125,0.5043983119206584,0.08422546052427485,0.025831337416284864
1165.16516517,0.8916928772830081,0.5068739407269429,0.08491643810327244,0.026010819976914748
1171.17117117,0.8930181403351644,0.5093495362635795,0.08561165507078178,0.026191341556643304
1177.17717718,0.8943326533242077,0.5118250061189142,0.08631112369446332,0.026372906576285816
1183.18318318,0.8956364440752884,0.514300257895368,0.0870148561494292,0.026555519463836122
1189.18918919,0.8969295411591609,0.5167751992197824,0.08772286451695836,0.026739184654391117
1195.1951952,0.8982119738821988,0.5192497377537615,0.08843516078321123,0.026923906590074567
1201.2012012,0.8994837722763571,0.5217237812040068,0.08915175683794417,0.02710968971996023
1207.20720721,0.9007449670890866,0.5241972373326439,0.08987266447322366,0.02729653849999431
1213.21321321,0.9019955897732008,0.5266700139675392,0.09059789538214043,0.027484457392917192
1219.21921922,0.903235672476701,0.5291420190126038,0.09132746115752369,0.027673450868184526
1225.22522523,0.9044652480325591,0.5316131604580833,0.09206137329065554,0.027863523401887594
1231.23123123,0.9056843499484633,0.5340833463908317,0.0927996431699857,0.028054679476672992
1237.23723724,0.9068930123965275,0.5365524850045672,0.09354228207984663,0.028246923581661643
1243.24324324,0.9080912702029691,0.5390204846101083,0.09428930119916937,0.02844026021236709
1249.24924925,0.9092791588377545,0.5414872536455875,0.09504071160019989,0.028634693870613133
1255.25525526,0.910456714404219,0.5439527006866417,0.0957965242472165,0.028830229064450732
1261.26126126,0.9116239736286609,0.5464167344565773,0.09655674999524803,0.029026870308074264
1267.26726727,0.9127809738499125,0.5488792638365071,0.09732139958879323,0.029224622121737064
1273.27327327,0.9139277530088923,0.5513401978754582,0.09809048366054135,0.029423489031666278
1279.27927928,0.915064349638139,0.5537994458004488,0.09886401273009417,0.029623475569977027
1285.28528529,0.9161908028513311,0.5562569170265318,0.09964199720268938,0.029824586274585885
1291.29129129,0.9173071523327943,0.5587125211668029,0.10042444736792575,0.030026825689123654
1297.2972973,0.9184134383269982,0.5611661680423732,0.10121137339848997,0.030230198362847453
1303.3033033,0.9195097016280468,0.5636177676923015,0.10200278534888546,0.030434708850552127
1309.30930931,0.9205959835691633,0.5660672303834879,0.10279869315416319,0.030640361712480937
1315.31531532,0.9216723260121725,0.5685144666205237,0.10359910662865465,0.03084716151423559
1321.32132132,0.9227387713369837,0.570959387155498,0.10440403546470721,0.031055112826685553
1327.32732733,0.9237953624310749,0.5734019029977581,0.10521348923142186,0.031264220225876695
1333.33333333,0.9248421426789823,0.5758419254236226,0.10602747737339362,0.031474488292939216
1339.33933934,0.9258791559517973,0.578279365986045,0.10684600920945457,0.03168592161399491
1345.34534535,0.926906446596671,0.580714136524226,0.1076690939314199,0.03189852478006372
1351.35135135,0.9279240594263328,0.5831461491731729,0.10849674060283682,0.032112302386969604
1357.35735736,0.9289320397086207,0.5855753163732044,0.10932895815773669,0.032327259035245734
1363.36336336,0.929930433156029,0.5880015508793995,0.11016575539939048,0.03254339933003895
1369.36936937,0.9309192859152736,0.5904247657709878,0.1110071409990676,0.03276072788101359
1375.37537538,0.9318986445568788,0.5928448744606801,0.11185312349479826,0.03297924930225461
1381.38138138,0.9328685560647852,0.5952617907039384,0.1127037112901397,0.03319896821216997
1387.38738739,0.9338290678259843,0.5976754286081815,0.11355891265294611,0.03341988923339241
1393.39339339,0.9347802276201783,0.6000857026419275,0.11441873571414264,0.033642016992680476
1399.3993994,0.9357220836094703,0.6024925276438691,0.11528318846650351,0.03386535612081888
1405.40540541,0.9366546843280844,0.6048958188318807,0.11615227876343442,0.0340899112525182
1411.41141141,0.9375780786721201,0.6072954918119571,0.11702601431775943,0.034315687026313844
1417.41741742,0.9384923158893406,0.6096914625870801,0.11790440270051226,0.034542688084464375
1423.42342342,0.9393974455689992,0.6120836475660134,0.11878745133973254,0.03477091907284912
1429.42942943,0.9402935176317038,0.6144719635720228,0.11967516751926666,0.03500038464086511
1435.43543544,0.9411805823193229,0.616856327851521,0.12056755837757381,0.03523108944132337
1441.44144144,0.9420586901849344,0.6192366580826352,0.1214646309065371,0.035463038130344425
1447.44744745,0.9429278920828186,0.621612872383696,0.1223663919502799,0.03569623536725327
1453.45345345,0.9437882391584979,0.6239848893216469,0.12327284820398778,0.03593068581447354
1459.45945946,0.9446397828388248,0.6263526279203712,0.12418400621273581,0.036166394137421065
1465.46546547,0.9454825748221198,0.6287160076689374,0.12509987237032183,0.03640336500439672
